mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396061;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd1,00m";;4250204492538;90289090;Stk;;1.242,01;;;30,9;682;1070;704
0396062;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd1,25m";;4250204490589;90289090;Stk;;1.284,13;;;35,8;682;1320;704
0396062-DIBT;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd1,25m";;4250204497991;90289090;Stk;;1.781,90;;;42,8;682;1320;704
0396063;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd1,50m";;4250204490596;90289090;Stk;;1.354,29;;;39,6;682;1570;704
0396064;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd1,75m";;4250204490602;90289090;Stk;;1.459,54;;;43,6;682;1820;704
0396065;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd2,00m";;4250204490619;90289090;Stk;;1.564,79;;;47,5;682;2070;704
0396070;"FLEXORIPP 1¼"" KH-DM-KH 1¼""x260mm Rd0,75m";;4250204494693;90289090;Stk;;1.494,63;;;29,1;682;820;704
0396071;"FLEXORIPP 1¼"" KH-DM-KH 1¼""x260mm Rd1,00m";;4250204494709;90289090;Stk;;1.494,63;;;33;682;820;704
0396072;"FLEXORIPP 1¼"" KH-DM-KH 1¼""x260mm Rd1,25m";;4250204493122;90289090;Stk;;1.536,74;;;38;682;820;704
0396073;"FLEXORIPP 1¼"" KH-DM-KH 1¼""x260mm Rd1,50m";;4250204493139;90289090;Stk;;1.606,90;;;41,7;682;1570;704
0396074;"FLEXORIPP 1¼"" KH-DM-KH 1¼""x260mm Rd1,75m";;4250204493146;90289090;Stk;;1.712,15;;;45,7;682;820;704
0396075;"FLEXORIPP 1¼"" KH-DM-KH 1¼""x260mm Rd2,00m";;4250204493153;90289090;Stk;;1.817,41;;;49,6;682;820;704
